Date;Time;Severity;TID;This;Function;Message
2020/05/28;21:43:47.995;INFO;16100;0;client::ClientEngine::sendResult@228;"Response sent to server: {""client_description"":""OK"",""err_card_code"":0,""err_card_description"":""OK"",""err_client_code"":0,""err_server_code"":0,""err_server_description"":""OK"",""err_terminal_code"":0,""response"":""6D 00"",""terminal_description"":""OK""}"
2020/05/28;21:43:49.068;INFO;16100;0;client::ClientEngine::handleRequest@174;"Request received from server: {""data"":""00"",""request"":6,""timeout"":54999}"
2020/05/28;21:43:49.069;INFO;5860;0;client::Command::run@24;"Request ""command"" is being processed"
2020/05/28;21:43:49.098;DEBUG;5860;0;client::ExampleTerminalPCSCContactless::sendCommand@139;"Failed to call SCardTransmit() [error:The parameter is incorrect.][card:16861477009170104323][pbSendBuffer:0x1d896c87040][cbSendLength:1][recvbuffer:m][recvlength:65536]"
2020/05/28;21:43:49.099;INFO;16100;0;client::ClientEngine::sendResult@228;"Response sent to server: {""client_description"":""OK"",""err_card_code"":0,""err_card_description"":""OK"",""err_client_code"":0,""err_server_code"":0,""err_server_description"":""OK"",""err_terminal_code"":87,""response"":""KO"",""terminal_description"":""Failed to send command: The parameter is incorrect.""}"
2020/05/28;21:43:51.212;INFO;16100;0;client::ClientEngine::handleRequest@174;"Request received from server: {""data"":""00"",""request"":6,""timeout"":54999}"
2020/05/28;21:43:51.213;INFO;11928;0;client::Command::run@24;"Request ""command"" is being processed"
2020/05/28;21:43:51.229;DEBUG;11928;0;client::ExampleTerminalPCSCContactless::sendCommand@139;"Failed to call SCardTransmit() [error:The parameter is incorrect.][card:16861477009170104326][pbSendBuffer:0x1d896c87050][cbSendLength:1][recvbuffer:m][recvlength:65536]"
2020/05/28;21:43:51.230;INFO;16100;0;client::ClientEngine::sendResult@228;"Response sent to server: {""client_description"":""OK"",""err_card_code"":0,""err_card_description"":""OK"",""err_client_code"":0,""err_server_code"":0,""err_server_description"":""OK"",""err_terminal_code"":87,""response"":""KO"",""terminal_description"":""Failed to send command: The parameter is incorrect.""}"
2020/05/28;21:43:51.560;INFO;16100;0;client::ClientEngine::handleRequest@174;"Request received from server: {""data"":""00"",""request"":6,""timeout"":54999}"
2020/05/28;21:43:51.561;INFO;24596;0;client::Command::run@24;"Request ""command"" is being processed"
2020/05/28;21:43:51.583;DEBUG;24596;0;client::ExampleTerminalPCSCContactless::sendCommand@139;"Failed to call SCardTransmit() [error:The parameter is incorrect.][card:16861477009170104329][pbSendBuffer:0x1d896c871c0][cbSendLength:1][recvbuffer:m][recvlength:65536]"
2020/05/28;21:43:51.584;INFO;16100;0;client::ClientEngine::sendResult@228;"Response sent to server: {""client_description"":""OK"",""err_card_code"":0,""err_card_description"":""OK"",""err_client_code"":0,""err_server_code"":0,""err_server_description"":""OK"",""err_terminal_code"":87,""response"":""KO"",""terminal_description"":""Failed to send command: The parameter is incorrect.""}"
2020/05/28;21:43:54.201;DEBUG;16100;0;client::ClientTCPSocket::receivePacket@121;"Failed to receive data size from client -  [socket:1656][buffer:0][size:4][flags:0]"
2020/05/28;21:43:54.201;INFO;16100;0;client::ExampleTerminalPCSCContactless::disconnect@293;"Terminal PCSC disconnected successfully"
2020/05/28;21:43:54.206;INFO;16100;0;client::ClientEngine::disconnectClient@143;"Client disconnected successfully"
2020/05/28;21:43:54.207;INFO;16100;0;client::ClientEngine::waitingRequests@163;"Client not waiting for requests"
2020/06/05;16:05:47.475;INFO;19932;0;client::ExampleTerminalPCSCContactless::init@50;"Terminal PCSC initialized"
2020/06/05;16:05:47.477;INFO;19932;0;client::ClientEngine::initClient@74;"Client initialized successfully"
